9768.318 ********************************************************
10251.835 Calibration Calibration (BEGIN) 
10252.506 Calibration Calibration (BEGIN) 
10253.177 Calibration Calibration (BEGIN) 
10253.838 Calibration Calibration (BEGIN) 
10254.495 Calibration Calibration (BEGIN) 
10255.091 Calibration Calibration (BEGIN) 
10255.814 Calibration Calibration (BEGIN) 
10256.475 Calibration Calibration (BEGIN) 
10257.134 Calibration Calibration (BEGIN) 
10257.778 Calibration Calibration (BEGIN) 
10258.413 Calibration Calibration (BEGIN) 
10259.050 Calibration Calibration (BEGIN) 
10259.730 Calibration Calibration (BEGIN) 
10260.415 Calibration Calibration (BEGIN) 
10261.076 Calibration Calibration (BEGIN) 
10261.739 Calibration Calibration (BEGIN) 
10262.399 Calibration Calibration (BEGIN) 
10263.058 Calibration Calibration (BEGIN) 
10263.720 Calibration Calibration (BEGIN) 
10264.384 Calibration Calibration (BEGIN) 
10265.052 Calibration Calibration (BEGIN) 
10265.717 Calibration Calibration (BEGIN) 
10266.372 Calibration Calibration (BEGIN) 
10267.042 Calibration Calibration (BEGIN) 
10267.706 Calibration Calibration (BEGIN) 
10268.363 Calibration Calibration (BEGIN) 
10269.017 Calibration Calibration (BEGIN) 
10269.686 Calibration Calibration (BEGIN) 
10270.340 Calibration Calibration (BEGIN) 
10271.002 Calibration Calibration (BEGIN) 
10271.665 Calibration Calibration (BEGIN) 
10272.364 Calibration Calibration (BEGIN) 
10273.024 Calibration Calibration (BEGIN) 
10273.648 Calibration Calibration (BEGIN) 
10274.203 Calibration Calibration (BEGIN) 
10274.806 Calibration Calibration (BEGIN) 
10275.483 Calibration Calibration (BEGIN) 
10276.110 Calibration Calibration (BEGIN) 
10276.695 Calibration Calibration (BEGIN) 
10277.296 Calibration Calibration (BEGIN) 
10277.935 Calibration Calibration (BEGIN) 
10278.522 Calibration Calibration (BEGIN) 
10279.149 Calibration Calibration (BEGIN) 
10279.880 Calibration Calibration (BEGIN) 
10280.520 Calibration Calibration (BEGIN) 
10281.108 Calibration Calibration (BEGIN) 
10281.915 Calibration Calibration (BEGIN) 
10282.508 Calibration Calibration (BEGIN) 
10283.181 Calibration Calibration (BEGIN) 
10283.837 Calibration Calibration (BEGIN) 
10284.489 Calibration Calibration (BEGIN) 
10285.159 Calibration Calibration (BEGIN) 
10285.811 Calibration Calibration (BEGIN) 
10286.471 Calibration Calibration (BEGIN) 
10287.127 Calibration Calibration (BEGIN) 
10287.801 Calibration Calibration (BEGIN) 
10288.423 Calibration Calibration (BEGIN) 
10289.048 Calibration Calibration (BEGIN) 
10289.710 Calibration Calibration (BEGIN) 
10290.377 Calibration Calibration (BEGIN) 
10291.056 Calibration Calibration (BEGIN) 
10291.711 Calibration Calibration (BEGIN) 
10292.380 Calibration Calibration (BEGIN) 
10293.038 Calibration Calibration (BEGIN) 
10293.692 Calibration Calibration (BEGIN) 
10294.356 Calibration Calibration (BEGIN) 
10295.020 Calibration Calibration (BEGIN) 
10295.688 Calibration Calibration (BEGIN) 
10296.353 Calibration Calibration (BEGIN) 
10297.009 Calibration Calibration (BEGIN) 
10297.668 Calibration Calibration (BEGIN) 
10298.326 Calibration Calibration (BEGIN) 
10298.986 Calibration Calibration (BEGIN) 
10299.645 Calibration Calibration (BEGIN) 
10300.320 Calibration Calibration (BEGIN) 
10300.977 Calibration Calibration (BEGIN) 
10301.633 Calibration Calibration (BEGIN) 
10302.292 Calibration Calibration (BEGIN) 
10302.957 Calibration Calibration (BEGIN) 
10303.611 Calibration Calibration (BEGIN) 
10304.263 Calibration Calibration (BEGIN) 
10304.920 Calibration Calibration (BEGIN) 
10305.598 Calibration Calibration (BEGIN) 
10306.232 Calibration Calibration (BEGIN) 
10306.856 Calibration Calibration (BEGIN) 
10307.548 Calibration Calibration (BEGIN) 
10308.206 Calibration Calibration (BEGIN) 
10308.860 Calibration Calibration (BEGIN) 
10309.516 Calibration Calibration (BEGIN) 
10310.179 Calibration Calibration (BEGIN) 
10310.844 Calibration Calibration (BEGIN) 
10311.506 Calibration Calibration (BEGIN) 
10312.161 Calibration Calibration (BEGIN) 
10312.822 Calibration Calibration (BEGIN) 
10313.485 Calibration Calibration (BEGIN) 
10314.144 Calibration Calibration (BEGIN) 
10314.805 Calibration Calibration (BEGIN) 
10315.469 Calibration Calibration (BEGIN) 
10316.128 Calibration Calibration (BEGIN) 
10316.788 Calibration Calibration (BEGIN) 
10317.448 Calibration Calibration (BEGIN) 
10318.108 Calibration Calibration (BEGIN) 
10318.773 Calibration Calibration (BEGIN) 
10319.437 Calibration Calibration (BEGIN) 
10319.983 Calibration Calibration (BEGIN) 
10320.506 Calibration Calibration (BEGIN) 
10321.029 Calibration Calibration (BEGIN) 
10321.544 Calibration Calibration (BEGIN) 
10322.100 Calibration Calibration (BEGIN) 
10322.611 Calibration Calibration (BEGIN) 
10323.105 Calibration Calibration (BEGIN) 
10323.693 Calibration Calibration (BEGIN) 
10324.204 Calibration Calibration (BEGIN) 
10324.713 Calibration Calibration (BEGIN) 
10325.234 Calibration Calibration (BEGIN) 
10325.746 Calibration Calibration (BEGIN) 
10326.258 Calibration Calibration (BEGIN) 
10326.766 Calibration Calibration (BEGIN) 
10327.277 Calibration Calibration (BEGIN) 
10327.784 Calibration Calibration (BEGIN) 
10328.293 Calibration Calibration (BEGIN) 
10328.801 Calibration Calibration (BEGIN) 
10329.321 Calibration Calibration (BEGIN) 
10329.831 Calibration Calibration (BEGIN) 
10330.340 Calibration Calibration (BEGIN) 
10330.853 Calibration Calibration (BEGIN) 
10331.371 Calibration Calibration (BEGIN) 
10331.880 Calibration Calibration (BEGIN) 
10332.385 Calibration Calibration (BEGIN) 
10332.893 Calibration Calibration (BEGIN) 
10333.408 Calibration Calibration (BEGIN) 
10333.916 Calibration Calibration (BEGIN) 
10334.425 Calibration Calibration (BEGIN) 
10334.934 Calibration Calibration (BEGIN) 
10335.445 Calibration Calibration (BEGIN) 
10335.949 Calibration Calibration (BEGIN) 
10336.454 Calibration Calibration (BEGIN) 
10336.962 Calibration Calibration (BEGIN) 
10337.474 Calibration Calibration (BEGIN) 
10337.950 Calibration Calibration (BEGIN) 
10338.474 Calibration Calibration (BEGIN) 
10338.968 Calibration Calibration (BEGIN) 
10339.516 Calibration Calibration (BEGIN) 
10340.018 Calibration Calibration (BEGIN) 
10340.495 Calibration Calibration (BEGIN) 
10340.979 Calibration Calibration (BEGIN) 
10341.462 Calibration Calibration (BEGIN) 
10341.954 Calibration Calibration (BEGIN) 
10342.433 Calibration Calibration (BEGIN) 
10342.918 Calibration Calibration (BEGIN) 
10343.399 Calibration Calibration (BEGIN) 
10343.884 Calibration Calibration (BEGIN) 
10344.377 Calibration Calibration (BEGIN) 
10344.858 Calibration Calibration (BEGIN) 
10345.337 Calibration Calibration (BEGIN) 
10345.825 Calibration Calibration (BEGIN) 
10346.306 Calibration Calibration (BEGIN) 
10346.797 Calibration Calibration (BEGIN) 
10347.275 Calibration Calibration (BEGIN) 
10347.759 Calibration Calibration (BEGIN) 
10348.238 Calibration Calibration (BEGIN) 
10348.719 Calibration Calibration (BEGIN) 
10349.206 Calibration Calibration (BEGIN) 
10349.691 Calibration Calibration (BEGIN) 
10350.170 Calibration Calibration (BEGIN) 
10350.667 Calibration Calibration (BEGIN) 
10351.189 Calibration Calibration (BEGIN) 
10351.681 Calibration Calibration (BEGIN) 
10352.159 Calibration Calibration (BEGIN) 
10352.644 Calibration Calibration (BEGIN) 
10353.122 Calibration Calibration (BEGIN) 
10353.608 Calibration Calibration (BEGIN) 
10354.113 Calibration Calibration (BEGIN) 
10354.732 Calibration Calibration (BEGIN) 
10355.242 Calibration Calibration (BEGIN) 
10355.724 Calibration Calibration (BEGIN) 
10356.218 Calibration Calibration (BEGIN) 
10356.697 Calibration Calibration (BEGIN) 
10357.184 Calibration Calibration (BEGIN) 
10357.663 Calibration Calibration (BEGIN) 
10358.148 Calibration Calibration (BEGIN) 
10358.641 Calibration Calibration (BEGIN) 
10359.144 Calibration Calibration (BEGIN) 
10359.626 Calibration Calibration (BEGIN) 
10360.106 Calibration Calibration (BEGIN) 
10360.588 Calibration Calibration (BEGIN) 
10361.083 Calibration Calibration (BEGIN) 
10361.569 Calibration Calibration (BEGIN) 
10362.047 Calibration Calibration (BEGIN) 
10362.534 Calibration Calibration (BEGIN) 
10363.013 Calibration Calibration (BEGIN) 
10363.495 Calibration Calibration (BEGIN) 
10363.976 Calibration Calibration (BEGIN) 
10364.473 Calibration Calibration (BEGIN) 
10364.952 Calibration Calibration (BEGIN) 
10365.436 Calibration Calibration (BEGIN) 
10365.926 Calibration Calibration (BEGIN) 
10366.411 Calibration Calibration (BEGIN) 
10366.891 Calibration Calibration (BEGIN) 
10367.374 Calibration Calibration (BEGIN) 
10367.858 Calibration Calibration (BEGIN) 
10368.350 Calibration Calibration (BEGIN) 
10368.831 Calibration Calibration (BEGIN) 
