Session_Name_	Trial_Index_	Trial_Recycled_	run_ind	trial_ind	stim_quad	stim_img	stim_ecc	stim_ang	stim_x	stim_y	fix_x	fix_y	fix_t	stim_t	delay_t	resp_t	iti_t	fix_size	dot_size	roi_size	LAST_TRIAL_TIME	TRIAL_SCANNER_KEY_TIMES	TRIAL_SCANNER_KEY_VALUES	INITIAL_SCANNER_KEY_DPC_TIME	INITIAL_SCANNER_KEY_VALUE	FIX_TIME	STIM1_TIME	DELAY_TIME	PROBE_TIME	ITI_START_TIME	INITIAL_SCANNER_KEY_HPC_TIME	END_TIME	stim_ang_orig	ecc
p12_1	1	False	1	1	4	4_2.png	5.370864719	341.7930184	843.6595216	578.7677129	640	512	3.5	4	6	7	2	19.90093303	19.90093303	31.84275389	375804.54	[368809.584]	"[' ']"	368809.58	" "	370806.19	372305.70	372805.52	374804.87	375804.54	7209987.58	-32768	345	5.5
p12_1	2	False	1	2	4	3_2.png	5.890928821	323.3653293	828.8129698	651.9419024	640	512	3	3.5	5.5	6.5	1.5	19.90093303	19.90093303	31.84275389	382302.38	[]	[]	368809.58	" "	377304.04	378803.54	379303.38	381302.71	382302.38	7209987.58	-32768	325	5.5
p12_1	3	False	1	3	4	1_1.png	3.331871339	285.5354157	675.5579092	639.4912238	640	512	2.75	3.25	5.25	6.25	1.25	19.90093303	19.90093303	31.84275389	388550.32	[]	[]	368809.58	" "	383551.97	385051.48	385551.30	387550.65	388550.32	7209987.58	-32768	285	3
p12_1	4	False	1	4	2	1_2.png	5.318019117	104.0385671	588.5082149	306.7435399	640	512	2.75	3.25	7.25	8.25	1.25	19.90093303	19.90093303	31.84275389	396797.59	[]	[]	368809.58	" "	389799.91	391299.42	391799.24	395797.92	396797.59	7209987.58	-32768	105	5.5
p12_1	5	False	1	5	3	1_2.png	5.910195227	190.4873859	407.8748156	554.8281207	640	512	3.25	3.75	7.75	8.75	1.75	19.90093303	19.90093303	31.84275389	405544.70	[]	[]	368809.58	" "	398547.02	400046.51	400546.35	404545.03	405544.70	7209987.58	-32768	195	5.5
p12_1	6	False	1	6	4	4_1.png	2.663898318	344.9180625	742.4471852	539.51721	640	512	3	3.5	5.5	6.5	1.5	19.90093303	19.90093303	31.84275389	412042.55	[]	[]	368809.58	" "	407044.20	408543.72	409043.54	411042.89	412042.55	7209987.58	-32768	345	3
p12_1	7	False	1	7	2	1_1.png	2.595372693	108.2662951	607.6007261	414.1618216	640	512	3	3.5	5.5	6.5	1.5	19.90093303	19.90093303	31.84275389	418540.41	[]	[]	368809.58	" "	413542.06	415041.56	415541.40	417540.73	418540.41	7209987.58	-32768	105	3
p12_1	8	False	1	8	3	4_1.png	2.801726777	258.8773922	618.4713217	621.1448324	640	512	3.25	3.75	5.75	6.75	1.75	19.90093303	19.90093303	31.84275389	425288.16	[]	[]	368809.58	" "	420289.83	421789.33	422289.16	424288.50	425288.16	7209987.58	-32768	255	3
p12_1	9	False	1	9	3	1_1.png	3.157530542	198.5932041	520.7661689	551.9793629	640	512	2.75	3.25	7.25	8.25	1.25	19.90093303	19.90093303	31.84275389	433535.45	[]	[]	368809.58	" "	426537.75	428037.26	428537.10	432535.78	433535.45	7209987.58	-32768	195	3
p12_1	10	False	1	10	2	2_1.png	3.039905094	124.3618496	571.6465147	412.3572949	640	512	3	3.5	7.5	8.5	1.5	19.90093303	19.90093303	31.84275389	442032.63	[]	[]	368809.58	" "	435034.94	436534.45	437034.29	441032.96	442032.63	7209987.58	-32768	125	3
p12_1	11	False	1	11	3	4_2.png	5.608635431	255.485663	583.8745883	728.0862461	640	512	2.75	3.25	5.25	6.25	1.25	19.90093303	19.90093303	31.84275389	448280.57	[]	[]	368809.58	" "	443282.22	444781.73	445281.56	447280.90	448280.57	7209987.58	-32768	255	5.5
p12_1	12	False	1	12	1	4_1.png	3.222348514	75.70838427	671.6934099	387.9936527	640	512	3.25	3.75	7.75	8.75	1.75	19.90093303	19.90093303	31.84275389	457027.68	[]	[]	368809.58	" "	450030.00	451529.49	452029.32	456028.01	457027.68	7209987.58	-32768	75	3
p12_1	13	False	1	13	2	4_2.png	5.772366214	165.3242648	416.995285	453.7882259	640	512	3	3.5	7.5	8.5	1.5	19.90093303	19.90093303	31.84275389	465524.87	[]	[]	368809.58	" "	458527.18	460026.68	460526.52	464525.20	465524.87	7209987.58	-32768	165	5.5
p12_1	14	False	1	14	1	2_2.png	5.228028324	37.16497347	806.2805574	386.359622	640	512	3.25	3.75	5.75	6.75	1.75	19.90093303	19.90093303	31.84275389	472272.64	[]	[]	368809.58	" "	467274.28	468773.80	469273.62	471272.97	472272.64	7209987.58	-32768	35	5.5
p12_1	15	False	1	15	1	4_2.png	5.645128787	74.42397893	700.526568	295.5793037	640	512	3	3.5	5.5	6.5	1.5	19.90093303	19.90093303	31.84275389	478770.49	[]	[]	368809.58	" "	473772.14	475271.63	475771.48	477770.82	478770.49	7209987.58	-32768	75	5.5
p12_1	16	False	1	16	1	1_1.png	2.82421992	10.71037084	750.5376965	491.1615101	640	512	3	3.5	5.5	6.5	1.5	19.90093303	19.90093303	31.84275389	485268.34	[]	[]	368809.58	" "	480269.98	481769.49	482269.32	484268.67	485268.34	7209987.58	-32768	15	3
p12_1	17	False	1	17	1	1_1.png	2.82421992	10.71037084	750.5376965	491.1615101	640	512	3	3.5	5.5	6.5	2	19.90093303	19.90093303	31.84275389	-32768	[]	[]	368809.58	" "	-32768	-32768	-32768	-32768	-32768	7209987.58	-32768	15	3
