23383.010 ********************************************************
23865.649 Calibration Calibration (BEGIN) 
23866.284 Calibration Calibration (BEGIN) 
23866.954 Calibration Calibration (BEGIN) 
23867.631 Calibration Calibration (BEGIN) 
23868.276 Calibration Calibration (BEGIN) 
23868.886 Calibration Calibration (BEGIN) 
23869.526 Calibration Calibration (BEGIN) 
23870.198 Calibration Calibration (BEGIN) 
23870.930 Calibration Calibration (BEGIN) 
23871.601 Calibration Calibration (BEGIN) 
23872.265 Calibration Calibration (BEGIN) 
23872.941 Calibration Calibration (BEGIN) 
23873.602 Calibration Calibration (BEGIN) 
23874.272 Calibration Calibration (BEGIN) 
23874.861 Calibration Calibration (BEGIN) 
23875.503 Calibration Calibration (BEGIN) 
23876.163 Calibration Calibration (BEGIN) 
23876.831 Calibration Calibration (BEGIN) 
23877.564 Calibration Calibration (BEGIN) 
23878.235 Calibration Calibration (BEGIN) 
23878.893 Calibration Calibration (BEGIN) 
23879.571 Calibration Calibration (BEGIN) 
23880.237 Calibration Calibration (BEGIN) 
23880.908 Calibration Calibration (BEGIN) 
23881.584 Calibration Calibration (BEGIN) 
23882.246 Calibration Calibration (BEGIN) 
23882.901 Calibration Calibration (BEGIN) 
23883.571 Calibration Calibration (BEGIN) 
23884.254 Calibration Calibration (BEGIN) 
23884.896 Calibration Calibration (BEGIN) 
23885.569 Calibration Calibration (BEGIN) 
23886.306 Calibration Calibration (BEGIN) 
23886.965 Calibration Calibration (BEGIN) 
23887.634 Calibration Calibration (BEGIN) 
23888.306 Calibration Calibration (BEGIN) 
23888.885 Calibration Calibration (BEGIN) 
23889.547 Calibration Calibration (BEGIN) 
23890.209 Calibration Calibration (BEGIN) 
23890.947 Calibration Calibration (BEGIN) 
23891.610 Calibration Calibration (BEGIN) 
23892.275 Calibration Calibration (BEGIN) 
23892.912 Calibration Calibration (BEGIN) 
23893.519 Calibration Calibration (BEGIN) 
23894.197 Calibration Calibration (BEGIN) 
23894.882 Calibration Calibration (BEGIN) 
23895.561 Calibration Calibration (BEGIN) 
23896.225 Calibration Calibration (BEGIN) 
23896.888 Calibration Calibration (BEGIN) 
23897.565 Calibration Calibration (BEGIN) 
23898.233 Calibration Calibration (BEGIN) 
23898.844 Calibration Calibration (BEGIN) 
23899.531 Calibration Calibration (BEGIN) 
23900.265 Calibration Calibration (BEGIN) 
23900.930 Calibration Calibration (BEGIN) 
23901.525 Calibration Calibration (BEGIN) 
23902.191 Calibration Calibration (BEGIN) 
23902.865 Calibration Calibration (BEGIN) 
23903.533 Calibration Calibration (BEGIN) 
23904.107 Calibration Calibration (BEGIN) 
23904.777 Calibration Calibration (BEGIN) 
23905.453 Calibration Calibration (BEGIN) 
23906.118 Calibration Calibration (BEGIN) 
23906.780 Calibration Calibration (BEGIN) 
23907.472 Calibration Calibration (BEGIN) 
23908.145 Calibration Calibration (BEGIN) 
23908.847 Calibration Calibration (BEGIN) 
23909.638 Calibration Calibration (BEGIN) 
23910.310 Calibration Calibration (BEGIN) 
23910.974 Calibration Calibration (BEGIN) 
23911.653 Calibration Calibration (BEGIN) 
23912.321 Calibration Calibration (BEGIN) 
23912.999 Calibration Calibration (BEGIN) 
23913.668 Calibration Calibration (BEGIN) 
23914.344 Calibration Calibration (BEGIN) 
23914.947 Calibration Calibration (BEGIN) 
23915.617 Calibration Calibration (BEGIN) 
23916.347 Calibration Calibration (BEGIN) 
23917.021 Calibration Calibration (BEGIN) 
23917.684 Calibration Calibration (BEGIN) 
23918.369 Calibration Calibration (BEGIN) 
23919.030 Calibration Calibration (BEGIN) 
23919.696 Calibration Calibration (BEGIN) 
23920.363 Calibration Calibration (BEGIN) 
23921.041 Calibration Calibration (BEGIN) 
23921.716 Calibration Calibration (BEGIN) 
23922.432 Calibration Calibration (BEGIN) 
23923.097 Calibration Calibration (BEGIN) 
23923.762 Calibration Calibration (BEGIN) 
23924.445 Calibration Calibration (BEGIN) 
23925.152 Calibration Calibration (BEGIN) 
23925.814 Calibration Calibration (BEGIN) 
23926.549 Calibration Calibration (BEGIN) 
23927.207 Calibration Calibration (BEGIN) 
23927.871 Calibration Calibration (BEGIN) 
23928.501 Calibration Calibration (BEGIN) 
23929.218 Calibration Calibration (BEGIN) 
23929.878 Calibration Calibration (BEGIN) 
23930.618 Calibration Calibration (BEGIN) 
23931.288 Calibration Calibration (BEGIN) 
23931.955 Calibration Calibration (BEGIN) 
23932.628 Calibration Calibration (BEGIN) 
23933.290 Calibration Calibration (BEGIN) 
23933.958 Calibration Calibration (BEGIN) 
23934.670 Calibration Calibration (BEGIN) 
23935.365 Calibration Calibration (BEGIN) 
23935.914 Calibration Calibration (BEGIN) 
23936.435 Calibration Calibration (BEGIN) 
23936.961 Calibration Calibration (BEGIN) 
23937.470 Calibration Calibration (BEGIN) 
23937.980 Calibration Calibration (BEGIN) 
23938.494 Calibration Calibration (BEGIN) 
23939.047 Calibration Calibration (BEGIN) 
23939.556 Calibration Calibration (BEGIN) 
23940.065 Calibration Calibration (BEGIN) 
23940.572 Calibration Calibration (BEGIN) 
23941.156 Calibration Calibration (BEGIN) 
23941.666 Calibration Calibration (BEGIN) 
23942.176 Calibration Calibration (BEGIN) 
23942.682 Calibration Calibration (BEGIN) 
23943.199 Calibration Calibration (BEGIN) 
23943.705 Calibration Calibration (BEGIN) 
23944.211 Calibration Calibration (BEGIN) 
23944.691 Calibration Calibration (BEGIN) 
23945.211 Calibration Calibration (BEGIN) 
23945.703 Calibration Calibration (BEGIN) 
23946.214 Calibration Calibration (BEGIN) 
23946.691 Calibration Calibration (BEGIN) 
23947.189 Calibration Calibration (BEGIN) 
23947.716 Calibration Calibration (BEGIN) 
23948.223 Calibration Calibration (BEGIN) 
23948.728 Calibration Calibration (BEGIN) 
23949.221 Calibration Calibration (BEGIN) 
23949.790 Calibration Calibration (BEGIN) 
23950.277 Calibration Calibration (BEGIN) 
