Session_Name_	Trial_Index_	Trial_Recycled_	run_ind	trial_ind	stim_quad	stim_img	stim_ecc	stim_ang	stim_x	stim_y	fix_x	fix_y	fix_t	stim_t	delay_t	resp_t	iti_t	fix_size	dot_size	roi_size	LAST_TRIAL_TIME	TRIAL_SCANNER_KEY_TIMES	TRIAL_SCANNER_KEY_VALUES	INITIAL_SCANNER_KEY_DPC_TIME	INITIAL_SCANNER_KEY_VALUE	FIX_TIME	STIM1_TIME	DELAY_TIME	PROBE_TIME	ITI_START_TIME	INITIAL_SCANNER_KEY_HPC_TIME	END_TIME	stim_ang_orig	ecc
p12_1	1	False	2	1	2	4_1.png	2.634338342	165.1545845	538.5793966	485.2056392	640	512	3.5	4	6	7	2	19.90093303	19.90093303	31.84275389	147055.12	[140050.577]	"[' ']"	140050.58	" "	142056.77	143556.28	144056.12	146055.46	147055.12	7517316.58	-32768	165	3
p12_1	2	False	2	2	3	3_1.png	2.584247052	234.300018	579.9390189	595.3097099	640	512	3.25	3.75	5.75	6.75	1.75	19.90093303	19.90093303	31.84275389	153802.89	[]	[]	140050.58	" "	148804.55	150304.05	150803.89	152803.23	153802.89	7517316.58	-32768	235	3
p12_1	3	False	2	3	2	3_2.png	5.552309845	149.0435548	449.8955259	398.3441725	640	512	2.75	3.25	5.25	6.25	1.25	19.90093303	19.90093303	31.84275389	160050.82	[]	[]	140050.58	" "	155052.47	156551.98	157051.82	159051.17	160050.82	7517316.58	-32768	145	5.5
p12_1	4	False	2	4	3	2_2.png	5.21810873	210.3317941	460.2464485	616.828515	640	512	3.25	3.75	5.75	6.75	1.75	19.90093303	19.90093303	31.84275389	166798.60	[]	[]	140050.58	" "	161800.25	163299.76	163799.59	165798.93	166798.60	7517316.58	-32768	215	5.5
p12_1	5	False	2	5	1	3_1.png	2.900079745	59.96850215	697.8171558	412.3126844	640	512	3	3.5	5.5	6.5	1.5	19.90093303	19.90093303	31.84275389	173296.45	[]	[]	140050.58	" "	168298.10	169797.60	170297.45	172296.78	173296.45	7517316.58	-32768	55	3
p12_1	6	False	2	6	2	2_2.png	5.856376908	121.8771295	516.4754608	314.0240816	640	512	2.75	3.25	5.25	6.25	1.25	19.90093303	19.90093303	31.84275389	179544.38	[]	[]	140050.58	" "	174546.03	176045.54	176545.37	178544.71	179544.38	7517316.58	-32768	125	5.5
p12_1	7	False	2	7	3	3_2.png	5.909098188	235.5273213	506.4069743	705.9398035	640	512	2.75	3.25	7.25	8.25	1.25	19.90093303	19.90093303	31.84275389	187791.65	[]	[]	140050.58	" "	180793.97	182293.48	182793.31	186791.98	187791.65	7517316.58	-32768	235	5.5
p12_1	8	False	2	8	1	3_2.png	5.40243355	53.21927183	769.1279244	339.8363731	640	512	3	3.5	5.5	6.5	1.5	19.90093303	19.90093303	31.84275389	194289.51	[]	[]	140050.58	" "	189291.16	190790.67	191290.49	193289.84	194289.51	7517316.58	-32768	55	5.5
p12_1	9	False	2	9	4	2_1.png	3.015367219	306.3114121	711.1349357	608.4806945	640	512	2.75	3.25	7.25	8.25	1.25	19.90093303	19.90093303	31.84275389	202536.78	[]	[]	140050.58	" "	195539.09	197038.59	197538.43	201537.10	202536.78	7517316.58	-32768	305	3
p12_1	10	False	2	10	2	3_1.png	2.511680991	140.6463359	562.6512596	448.7776853	640	512	2.75	3.25	7.25	8.25	1.25	19.90093303	19.90093303	31.84275389	210784.06	[]	[]	140050.58	" "	203786.36	205285.87	205785.70	209784.37	210784.06	7517316.58	-32768	145	3
p12_1	11	False	2	11	4	1_2.png	5.591594409	282.748114	689.2656265	729.0420848	640	512	2.75	3.25	5.25	6.25	1.25	19.90093303	19.90093303	31.84275389	217031.98	[]	[]	140050.58	" "	212033.64	213533.14	214032.98	216032.31	217031.98	7517316.58	-32768	285	5.5
p12_1	12	False	2	12	3	2_1.png	3.450915198	219.7422163	534.2602297	599.6302827	640	512	2.75	3.25	5.25	6.25	1.25	19.90093303	19.90093303	31.84275389	223279.92	[]	[]	140050.58	" "	218281.58	219781.07	220280.92	222280.25	223279.92	7517316.58	-32768	215	3
p12_1	13	False	2	13	1	2_1.png	2.560466772	33.30682066	725.2261796	456.1859384	640	512	3	3.5	7.5	8.5	1.5	19.90093303	19.90093303	31.84275389	231777.10	[]	[]	140050.58	" "	224779.42	226278.93	226778.76	230777.44	231777.10	7517316.58	-32768	35	3
p12_1	14	False	2	14	4	3_1.png	2.646514856	323.9453468	725.2181546	573.8354899	640	512	2.75	3.25	5.25	6.25	1.25	19.90093303	19.90093303	31.84275389	238025.05	[]	[]	140050.58	" "	233026.69	234526.20	235026.03	237025.37	238025.05	7517316.58	-32768	325	3
p12_1	15	False	2	15	4	2_2.png	5.332571407	302.4150174	754.1009747	691.1010984	640	512	3.25	3.75	7.75	8.75	1.75	19.90093303	19.90093303	31.84275389	246772.15	[]	[]	140050.58	" "	239774.47	241273.96	241773.81	245772.48	246772.15	7517316.58	-32768	305	5.5
p12_1	16	False	2	16	1	1_2.png	5.705950754	18.53063629	856.0420597	439.8222903	640	512	3	3.5	7.5	8.5	1.5	19.90093303	19.90093303	31.84275389	255269.34	[]	[]	140050.58	" "	248271.66	249771.17	250270.99	254269.67	255269.34	7517316.58	-32768	15	5.5
p12_1	17	False	2	17	1	1_2.png	5.705950754	18.53063629	856.0420597	439.8222903	640	512	3	3.5	7.5	8.5	2	19.90093303	19.90093303	31.84275389	-32768	[]	[]	140050.58	" "	-32768	-32768	-32768	-32768	-32768	7517316.58	-32768	15	5.5
