16651.161 ********************************************************
16651.206 ** Session beginning Wednesday September 07, 2022 12:17:26 AM **
16651.210 ** ExperimentBuilder Project : p12_1 **
16651.213 ** ExperimentBuilder Version : 2.3.38 **
16651.215 ** ExperimentBuilder Build   : Jul 30 2020 **
16651.217 ********************************************************
16651.221 TRACKER_TIME 0 7393911.522
17021.235 INITIALIZE INITIALIZE
17047.610 Calibration Calibration (BEGIN) 
17064.788 Calibration Calibration
17066.113 Calibration Calibration (BEGIN) 
17067.297 Calibration Calibration (BEGIN) 
17068.477 Calibration Calibration (BEGIN) 
17069.638 Calibration Calibration (BEGIN) 
17070.790 Calibration Calibration (BEGIN) 
17072.036 Calibration Calibration (BEGIN) 
17073.187 Calibration Calibration (BEGIN) 
17074.320 Calibration Calibration (BEGIN) 
17075.471 Calibration Calibration (BEGIN) 
17076.604 Calibration Calibration (BEGIN) 
17077.751 Calibration Calibration (BEGIN) 
17078.893 Calibration Calibration (BEGIN) 
17080.039 Calibration Calibration (BEGIN) 
17081.096 Calibration Calibration (BEGIN) 
17082.385 Calibration Calibration (BEGIN) 
17083.517 Calibration Calibration (BEGIN) 
17084.690 Calibration Calibration (BEGIN) 
17085.824 Calibration Calibration (BEGIN) 
17086.977 Calibration Calibration (BEGIN) 
17088.117 Calibration Calibration (BEGIN) 
17089.275 Calibration Calibration (BEGIN) 
17090.405 Calibration Calibration (BEGIN) 
17091.556 Calibration Calibration (BEGIN) 
17092.690 Calibration Calibration (BEGIN) 
17093.830 Calibration Calibration (BEGIN) 
17094.961 Calibration Calibration (BEGIN) 
17096.113 Calibration Calibration (BEGIN) 
17097.257 Calibration Calibration (BEGIN) 
17098.546 Calibration Calibration (BEGIN) 
17099.681 Calibration Calibration (BEGIN) 
17100.827 Calibration Calibration (BEGIN) 
17102.022 Calibration Calibration (BEGIN) 
17103.171 Calibration Calibration (BEGIN) 
17104.296 Calibration Calibration (BEGIN) 
17105.444 Calibration Calibration (BEGIN) 
17106.575 Calibration Calibration (BEGIN) 
17107.726 Calibration Calibration (BEGIN) 
17108.865 Calibration Calibration (BEGIN) 
17110.004 Calibration Calibration (BEGIN) 
17111.157 Calibration Calibration (BEGIN) 
17112.301 Calibration Calibration (BEGIN) 
17113.512 Calibration Calibration (BEGIN) 
17114.556 Calibration Calibration (BEGIN) 
17115.730 Calibration Calibration (BEGIN) 
17116.871 Calibration Calibration (BEGIN) 
17118.032 Calibration Calibration (BEGIN) 
17119.215 Calibration Calibration (BEGIN) 
17120.378 Calibration Calibration (BEGIN) 
17121.556 Calibration Calibration (BEGIN) 
17122.736 Calibration Calibration (BEGIN) 
17123.959 Calibration Calibration (BEGIN) 
17125.118 Calibration Calibration (BEGIN) 
17126.282 Calibration Calibration (BEGIN) 
17127.399 Calibration Calibration (BEGIN) 
17128.565 Calibration Calibration (BEGIN) 
17129.729 Calibration Calibration (BEGIN) 
17130.931 Calibration Calibration (BEGIN) 
17132.104 Calibration Calibration (BEGIN) 
17133.274 Calibration Calibration (BEGIN) 
17134.449 Calibration Calibration (BEGIN) 
17135.639 Calibration Calibration (BEGIN) 
17136.796 Calibration Calibration (BEGIN) 
17137.968 Calibration Calibration (BEGIN) 
17139.133 Calibration Calibration (BEGIN) 
17140.304 Calibration Calibration (BEGIN) 
17141.474 Calibration Calibration (BEGIN) 
17142.621 Calibration Calibration (BEGIN) 
17143.992 Calibration Calibration (BEGIN) 
17145.171 Calibration Calibration (BEGIN) 
17146.327 Calibration Calibration (BEGIN) 
17147.553 Calibration Calibration (BEGIN) 
17148.658 Calibration Calibration (BEGIN) 
17149.831 Calibration Calibration (BEGIN) 
17150.995 Calibration Calibration (BEGIN) 
17152.172 Calibration Calibration (BEGIN) 
17153.330 Calibration Calibration (BEGIN) 
17154.505 Calibration Calibration (BEGIN) 
17155.676 Calibration Calibration (BEGIN) 
17156.853 Calibration Calibration (BEGIN) 
17158.022 Calibration Calibration (BEGIN) 
17159.216 Calibration Calibration (BEGIN) 
17160.384 Calibration Calibration (BEGIN) 
17161.553 Calibration Calibration (BEGIN) 
17162.708 Calibration Calibration (BEGIN) 
17163.881 Calibration Calibration (BEGIN) 
17165.088 Calibration Calibration (BEGIN) 
17166.271 Calibration Calibration (BEGIN) 
17167.439 Calibration Calibration (BEGIN) 
17168.610 Calibration Calibration (BEGIN) 
17169.776 Calibration Calibration (BEGIN) 
17170.956 Calibration Calibration (BEGIN) 
17172.120 Calibration Calibration (BEGIN) 
17173.150 Calibration Calibration (BEGIN) 
17174.182 Calibration Calibration (BEGIN) 
17175.350 Calibration Calibration (BEGIN) 
17176.505 Calibration Calibration (BEGIN) 
17177.677 Calibration Calibration (BEGIN) 
17178.840 Calibration Calibration (BEGIN) 
17180.010 Calibration Calibration (BEGIN) 
17181.072 Calibration Calibration (BEGIN) 
17182.261 Calibration Calibration (BEGIN) 
17183.431 Calibration Calibration (BEGIN) 
17184.603 Calibration Calibration (BEGIN) 
17185.775 Calibration Calibration (BEGIN) 
17186.954 Calibration Calibration (BEGIN) 
17188.114 Calibration Calibration (BEGIN) 
17189.223 Calibration Calibration (BEGIN) 
17190.375 Calibration Calibration (BEGIN) 
17191.548 Calibration Calibration (BEGIN) 
17192.716 Calibration Calibration (BEGIN) 
17193.890 Calibration Calibration (BEGIN) 
17195.053 Calibration Calibration (BEGIN) 
17196.230 Calibration Calibration (BEGIN) 
17197.393 Calibration Calibration (BEGIN) 
17198.597 Calibration Calibration (BEGIN) 
17199.763 Calibration Calibration (BEGIN) 
17200.943 Calibration Calibration (BEGIN) 
17202.110 Calibration Calibration (BEGIN) 
17203.287 Calibration Calibration (BEGIN) 
17204.473 Calibration Calibration (BEGIN) 
17205.652 Calibration Calibration (BEGIN) 
17206.821 Calibration Calibration (BEGIN) 
17207.997 Calibration Calibration (BEGIN) 
17209.160 Calibration Calibration (BEGIN) 
17210.343 Calibration Calibration (BEGIN) 
17211.508 Calibration Calibration (BEGIN) 
17212.695 Calibration Calibration (BEGIN) 
17213.859 Calibration Calibration (BEGIN) 
17215.043 Calibration Calibration (BEGIN) 
17216.208 Calibration Calibration (BEGIN) 
17217.377 Calibration Calibration (BEGIN) 
17218.544 Calibration Calibration (BEGIN) 
17219.722 Calibration Calibration (BEGIN) 
17220.882 Calibration Calibration (BEGIN) 
17222.059 Calibration Calibration (BEGIN) 
17223.221 Calibration Calibration (BEGIN) 
17224.396 Calibration Calibration (BEGIN) 
17225.380 Calibration Calibration (BEGIN) 
17226.548 Calibration Calibration (BEGIN) 
17227.714 Calibration Calibration (BEGIN) 
17228.890 Calibration Calibration (BEGIN) 
17230.063 Calibration Calibration (BEGIN) 
17231.136 Calibration Calibration (BEGIN) 
17232.324 Calibration Calibration (BEGIN) 
17233.497 Calibration Calibration (BEGIN) 
17234.622 Calibration Calibration (BEGIN) 
17235.738 Calibration Calibration (BEGIN) 
17236.895 Calibration Calibration (BEGIN) 
17238.079 Calibration Calibration (BEGIN) 
17239.248 Calibration Calibration (BEGIN) 
17240.431 Calibration Calibration (BEGIN) 
17241.591 Calibration Calibration (BEGIN) 
17242.768 Calibration Calibration (BEGIN) 
17243.932 Calibration Calibration (BEGIN) 
17245.116 Calibration Calibration (BEGIN) 
17246.275 Calibration Calibration (BEGIN) 
17247.485 Calibration Calibration (BEGIN) 
17248.689 Calibration Calibration (BEGIN) 
17249.865 Calibration Calibration (BEGIN) 
17251.060 Calibration Calibration (BEGIN) 
17252.313 Calibration Calibration (BEGIN) 
17253.471 Calibration Calibration (BEGIN) 
17254.648 Calibration Calibration (BEGIN) 
17255.811 Calibration Calibration (BEGIN) 
17256.987 Calibration Calibration (BEGIN) 
17258.158 Calibration Calibration (BEGIN) 
17259.333 Calibration Calibration (BEGIN) 
17260.500 Calibration Calibration (BEGIN) 
17261.644 Calibration Calibration (BEGIN) 
17262.811 Calibration Calibration (BEGIN) 
17263.995 Calibration Calibration (BEGIN) 
17265.159 Calibration Calibration (BEGIN) 
17266.330 Calibration Calibration (BEGIN) 
17267.487 Calibration Calibration (BEGIN) 
17268.670 Calibration Calibration (BEGIN) 
17269.830 Calibration Calibration (BEGIN) 
17271.014 Calibration Calibration (BEGIN) 
17272.168 Calibration Calibration (BEGIN) 
17273.348 Calibration Calibration (BEGIN) 
17274.520 Calibration Calibration (BEGIN) 
17275.694 Calibration Calibration (BEGIN) 
17276.889 Calibration Calibration (BEGIN) 
17277.924 Calibration Calibration (BEGIN) 
17278.965 Calibration Calibration (BEGIN) 
17280.141 Calibration Calibration (BEGIN) 
17281.212 Calibration Calibration (BEGIN) 
17282.427 Calibration Calibration (BEGIN) 
17283.581 Calibration Calibration (BEGIN) 
17284.603 Calibration Calibration (BEGIN) 
17285.762 Calibration Calibration (BEGIN) 
17286.935 Calibration Calibration (BEGIN) 
17288.091 Calibration Calibration (BEGIN) 
17289.261 Calibration Calibration (BEGIN) 
17290.419 Calibration Calibration (BEGIN) 
17291.586 Calibration Calibration (BEGIN) 
17292.750 Calibration Calibration (BEGIN) 
17293.934 Calibration Calibration (BEGIN) 
17295.090 Calibration Calibration (BEGIN) 
17296.261 Calibration Calibration (BEGIN) 
17297.476 Calibration Calibration (BEGIN) 
17298.547 Calibration Calibration (BEGIN) 
17299.608 Calibration Calibration (BEGIN) 
17300.673 Calibration Calibration (BEGIN) 
17301.720 Calibration Calibration (BEGIN) 
17302.775 Calibration Calibration (BEGIN) 
17303.825 Calibration Calibration (BEGIN) 
17304.887 Calibration Calibration (BEGIN) 
17305.932 Calibration Calibration (BEGIN) 
17306.995 Calibration Calibration (BEGIN) 
17308.042 Calibration Calibration (BEGIN) 
17309.104 Calibration Calibration (BEGIN) 
17310.152 Calibration Calibration (BEGIN) 
17311.212 Calibration Calibration (BEGIN) 
17312.244 Calibration Calibration (BEGIN) 
17313.277 Calibration Calibration (BEGIN) 
17314.290 Calibration Calibration (BEGIN) 
17315.358 Calibration Calibration (BEGIN) 
17316.407 Calibration Calibration (BEGIN) 
17317.468 Calibration Calibration (BEGIN) 
17318.520 Calibration Calibration (BEGIN) 
17319.585 Calibration Calibration (BEGIN) 
17320.622 Calibration Calibration (BEGIN) 
17321.661 Calibration Calibration (BEGIN) 
17322.711 Calibration Calibration (BEGIN) 
17323.766 Calibration Calibration (BEGIN) 
17324.818 Calibration Calibration (BEGIN) 
17325.887 Calibration Calibration (BEGIN) 
17326.935 Calibration Calibration (BEGIN) 
17328.002 Calibration Calibration (BEGIN) 
17329.026 Calibration Calibration (BEGIN) 
17330.082 Calibration Calibration (BEGIN) 
17393.073 Calibration Calibration (BEGIN) 
17394.999 Calibration Calibration (BEGIN) 
17396.991 Calibration Calibration (BEGIN) 
17398.676 Calibration Calibration (BEGIN) 
17400.365 Calibration Calibration (BEGIN) 
17402.047 Calibration Calibration (BEGIN) 
17403.700 Calibration Calibration (BEGIN) 
17405.357 Calibration Calibration (BEGIN) 
17407.092 Calibration Calibration (BEGIN) 
17408.736 Calibration Calibration (BEGIN) 
17410.443 Calibration Calibration (BEGIN) 
17412.097 Calibration Calibration (BEGIN) 
17413.793 Calibration Calibration (BEGIN) 
17415.458 Calibration Calibration (BEGIN) 
17417.147 Calibration Calibration (BEGIN) 
17418.710 Calibration Calibration (BEGIN) 
17420.094 Calibration Calibration (BEGIN) 
17421.496 Calibration Calibration (BEGIN) 
17422.887 Calibration Calibration (BEGIN) 
17424.131 Calibration Calibration (BEGIN) 
17425.392 Calibration Calibration (BEGIN) 
17426.633 Calibration Calibration (BEGIN) 
17427.901 Calibration Calibration (BEGIN) 
17429.067 Calibration Calibration (BEGIN) 
17430.228 Calibration Calibration (BEGIN) 
17431.347 Calibration Calibration (BEGIN) 
17432.485 Calibration Calibration (BEGIN) 
