10484.529 ********************************************************
10484.598 ** Session beginning Thursday November 03, 2022 01:30:00 AM **
10484.606 ** ExperimentBuilder Project : s19_1 **
10484.612 ** ExperimentBuilder Version : 2.3.38 **
10484.617 ** ExperimentBuilder Build   : Jul 30 2020 **
10484.622 ********************************************************
10484.630 TRACKER_TIME 0 3845553.232
10851.945 INITIALIZE INITIALIZE
10861.451 Calibration Calibration (BEGIN) 
10864.732 Calibration Calibration
10865.507 Calibration Calibration (BEGIN) 
10866.235 Calibration Calibration (BEGIN) 
10866.966 Calibration Calibration (BEGIN) 
10867.699 Calibration Calibration (BEGIN) 
10868.420 Calibration Calibration (BEGIN) 
10869.130 Calibration Calibration (BEGIN) 
10869.849 Calibration Calibration (BEGIN) 
10870.574 Calibration Calibration (BEGIN) 
10871.291 Calibration Calibration (BEGIN) 
10872.022 Calibration Calibration (BEGIN) 
10872.747 Calibration Calibration (BEGIN) 
10873.452 Calibration Calibration (BEGIN) 
10874.178 Calibration Calibration (BEGIN) 
10874.896 Calibration Calibration (BEGIN) 
10875.612 Calibration Calibration (BEGIN) 
10876.347 Calibration Calibration (BEGIN) 
10877.065 Calibration Calibration (BEGIN) 
10877.765 Calibration Calibration (BEGIN) 
10878.508 Calibration Calibration (BEGIN) 
10879.180 Calibration Calibration (BEGIN) 
10879.806 Calibration Calibration (BEGIN) 
10880.387 Calibration Calibration (BEGIN) 
10881.015 Calibration Calibration (BEGIN) 
10881.584 Calibration Calibration (BEGIN) 
10882.178 Calibration Calibration (BEGIN) 
10882.868 Calibration Calibration (BEGIN) 
10883.535 Calibration Calibration (BEGIN) 
10884.199 Calibration Calibration (BEGIN) 
10884.887 Calibration Calibration (BEGIN) 
10885.568 Calibration Calibration (BEGIN) 
10886.179 Calibration Calibration (BEGIN) 
10886.770 Calibration Calibration (BEGIN) 
10887.359 Calibration Calibration (BEGIN) 
10887.930 Calibration Calibration (BEGIN) 
10888.505 Calibration Calibration (BEGIN) 
10889.075 Calibration Calibration (BEGIN) 
10889.827 Calibration Calibration (BEGIN) 
10890.580 Calibration Calibration (BEGIN) 
10891.337 Calibration Calibration (BEGIN) 
10892.086 Calibration Calibration (BEGIN) 
10892.845 Calibration Calibration (BEGIN) 
10893.596 Calibration Calibration (BEGIN) 
10894.334 Calibration Calibration (BEGIN) 
10894.983 Calibration Calibration (BEGIN) 
10895.715 Calibration Calibration (BEGIN) 
10896.454 Calibration Calibration (BEGIN) 
10897.186 Calibration Calibration (BEGIN) 
10897.888 Calibration Calibration (BEGIN) 
10898.626 Calibration Calibration (BEGIN) 
10899.356 Calibration Calibration (BEGIN) 
10900.088 Calibration Calibration (BEGIN) 
10900.824 Calibration Calibration (BEGIN) 
10901.549 Calibration Calibration (BEGIN) 
10902.271 Calibration Calibration (BEGIN) 
10902.969 Calibration Calibration (BEGIN) 
10903.686 Calibration Calibration (BEGIN) 
10904.417 Calibration Calibration (BEGIN) 
10905.147 Calibration Calibration (BEGIN) 
10905.880 Calibration Calibration (BEGIN) 
10906.605 Calibration Calibration (BEGIN) 
10907.338 Calibration Calibration (BEGIN) 
10908.081 Calibration Calibration (BEGIN) 
10908.812 Calibration Calibration (BEGIN) 
10909.547 Calibration Calibration (BEGIN) 
10910.284 Calibration Calibration (BEGIN) 
10910.912 Calibration Calibration (BEGIN) 
10911.653 Calibration Calibration (BEGIN) 
10912.383 Calibration Calibration (BEGIN) 
10913.112 Calibration Calibration (BEGIN) 
10913.837 Calibration Calibration (BEGIN) 
10914.582 Calibration Calibration (BEGIN) 
10915.307 Calibration Calibration (BEGIN) 
10916.051 Calibration Calibration (BEGIN) 
10916.765 Calibration Calibration (BEGIN) 
10917.496 Calibration Calibration (BEGIN) 
10918.234 Calibration Calibration (BEGIN) 
10918.971 Calibration Calibration (BEGIN) 
10919.696 Calibration Calibration (BEGIN) 
10920.440 Calibration Calibration (BEGIN) 
10921.168 Calibration Calibration (BEGIN) 
10921.901 Calibration Calibration (BEGIN) 
10922.629 Calibration Calibration (BEGIN) 
10923.359 Calibration Calibration (BEGIN) 
10924.086 Calibration Calibration (BEGIN) 
10924.828 Calibration Calibration (BEGIN) 
10925.554 Calibration Calibration (BEGIN) 
10926.282 Calibration Calibration (BEGIN) 
10926.900 Calibration Calibration (BEGIN) 
10927.632 Calibration Calibration (BEGIN) 
10928.351 Calibration Calibration (BEGIN) 
10929.083 Calibration Calibration (BEGIN) 
10929.804 Calibration Calibration (BEGIN) 
10930.528 Calibration Calibration (BEGIN) 
10931.320 Calibration Calibration (BEGIN) 
10932.055 Calibration Calibration (BEGIN) 
10932.784 Calibration Calibration (BEGIN) 
10933.521 Calibration Calibration (BEGIN) 
10934.178 Calibration Calibration (BEGIN) 
10934.859 Calibration Calibration (BEGIN) 
10935.532 Calibration Calibration (BEGIN) 
10936.200 Calibration Calibration (BEGIN) 
10936.867 Calibration Calibration (BEGIN) 
10937.543 Calibration Calibration (BEGIN) 
10938.211 Calibration Calibration (BEGIN) 
10938.876 Calibration Calibration (BEGIN) 
10939.548 Calibration Calibration (BEGIN) 
10940.218 Calibration Calibration (BEGIN) 
10940.885 Calibration Calibration (BEGIN) 
10941.559 Calibration Calibration (BEGIN) 
10942.232 Calibration Calibration (BEGIN) 
10942.913 Calibration Calibration (BEGIN) 
10943.584 Calibration Calibration (BEGIN) 
10944.255 Calibration Calibration (BEGIN) 
10944.924 Calibration Calibration (BEGIN) 
10945.596 Calibration Calibration (BEGIN) 
10946.260 Calibration Calibration (BEGIN) 
10946.928 Calibration Calibration (BEGIN) 
10947.558 Calibration Calibration (BEGIN) 
10948.253 Calibration Calibration (BEGIN) 
10948.918 Calibration Calibration (BEGIN) 
10949.587 Calibration Calibration (BEGIN) 
10950.269 Calibration Calibration (BEGIN) 
10950.938 Calibration Calibration (BEGIN) 
10951.601 Calibration Calibration (BEGIN) 
10952.273 Calibration Calibration (BEGIN) 
10952.945 Calibration Calibration (BEGIN) 
10953.613 Calibration Calibration (BEGIN) 
10954.323 Calibration Calibration (BEGIN) 
10954.976 Calibration Calibration (BEGIN) 
10955.630 Calibration Calibration (BEGIN) 
10956.297 Calibration Calibration (BEGIN) 
10956.950 Calibration Calibration (BEGIN) 
10957.573 Calibration Calibration (BEGIN) 
10958.208 Calibration Calibration (BEGIN) 
10958.849 Calibration Calibration (BEGIN) 
10959.546 Calibration Calibration (BEGIN) 
10960.204 Calibration Calibration (BEGIN) 
10960.861 Calibration Calibration (BEGIN) 
10961.515 Calibration Calibration (BEGIN) 
10962.175 Calibration Calibration (BEGIN) 
10962.840 Calibration Calibration (BEGIN) 
10963.498 Calibration Calibration (BEGIN) 
10964.199 Calibration Calibration (BEGIN) 
10964.872 Calibration Calibration (BEGIN) 
10965.546 Calibration Calibration (BEGIN) 
10966.205 Calibration Calibration (BEGIN) 
10966.881 Calibration Calibration (BEGIN) 
10967.545 Calibration Calibration (BEGIN) 
10968.204 Calibration Calibration (BEGIN) 
10968.862 Calibration Calibration (BEGIN) 
10969.520 Calibration Calibration (BEGIN) 
10970.188 Calibration Calibration (BEGIN) 
10970.844 Calibration Calibration (BEGIN) 
10971.506 Calibration Calibration (BEGIN) 
10972.162 Calibration Calibration (BEGIN) 
10972.830 Calibration Calibration (BEGIN) 
10973.464 Calibration Calibration (BEGIN) 
10974.092 Calibration Calibration (BEGIN) 
10974.736 Calibration Calibration (BEGIN) 
10975.422 Calibration Calibration (BEGIN) 
10976.093 Calibration Calibration (BEGIN) 
10976.753 Calibration Calibration (BEGIN) 
10977.429 Calibration Calibration (BEGIN) 
10978.082 Calibration Calibration (BEGIN) 
10978.738 Calibration Calibration (BEGIN) 
10979.388 Calibration Calibration (BEGIN) 
10980.066 Calibration Calibration (BEGIN) 
10980.742 Calibration Calibration (BEGIN) 
10981.440 Calibration Calibration (BEGIN) 
10982.098 Calibration Calibration (BEGIN) 
10982.753 Calibration Calibration (BEGIN) 
10983.408 Calibration Calibration (BEGIN) 
10984.065 Calibration Calibration (BEGIN) 
10984.738 Calibration Calibration (BEGIN) 
10985.393 Calibration Calibration (BEGIN) 
10986.048 Calibration Calibration (BEGIN) 
10986.706 Calibration Calibration (BEGIN) 
10987.347 Calibration Calibration (BEGIN) 
10988.011 Calibration Calibration (BEGIN) 
10988.668 Calibration Calibration (BEGIN) 
10989.297 Calibration Calibration (BEGIN) 
10989.932 Calibration Calibration (BEGIN) 
10990.559 Calibration Calibration (BEGIN) 
10991.219 Calibration Calibration (BEGIN) 
10991.874 Calibration Calibration (BEGIN) 
10992.545 Calibration Calibration (BEGIN) 
10993.203 Calibration Calibration (BEGIN) 
10993.867 Calibration Calibration (BEGIN) 
10994.496 Calibration Calibration (BEGIN) 
10995.173 Calibration Calibration (BEGIN) 
10995.801 Calibration Calibration (BEGIN) 
10996.472 Calibration Calibration (BEGIN) 
10997.128 Calibration Calibration (BEGIN) 
10997.804 Calibration Calibration (BEGIN) 
10998.468 Calibration Calibration (BEGIN) 
10999.121 Calibration Calibration (BEGIN) 
10999.790 Calibration Calibration (BEGIN) 
11000.459 Calibration Calibration (BEGIN) 
11001.117 Calibration Calibration (BEGIN) 
11001.773 Calibration Calibration (BEGIN) 
11002.445 Calibration Calibration (BEGIN) 
11003.105 Calibration Calibration (BEGIN) 
11003.772 Calibration Calibration (BEGIN) 
11004.425 Calibration Calibration (BEGIN) 
11005.090 Calibration Calibration (BEGIN) 
11005.722 Calibration Calibration (BEGIN) 
11006.369 Calibration Calibration (BEGIN) 
11007.070 Calibration Calibration (BEGIN) 
11007.727 Calibration Calibration (BEGIN) 
11008.394 Calibration Calibration (BEGIN) 
11009.053 Calibration Calibration (BEGIN) 
11009.706 Calibration Calibration (BEGIN) 
11010.356 Calibration Calibration (BEGIN) 
11011.021 Calibration Calibration (BEGIN) 
11011.682 Calibration Calibration (BEGIN) 
11012.331 Calibration Calibration (BEGIN) 
11012.995 Calibration Calibration (BEGIN) 
11013.661 Calibration Calibration (BEGIN) 
11014.290 Calibration Calibration (BEGIN) 
11014.928 Calibration Calibration (BEGIN) 
11015.589 Calibration Calibration (BEGIN) 
11016.247 Calibration Calibration (BEGIN) 
11016.902 Calibration Calibration (BEGIN) 
11017.556 Calibration Calibration (BEGIN) 
11018.209 Calibration Calibration (BEGIN) 
11018.880 Calibration Calibration (BEGIN) 
11019.540 Calibration Calibration (BEGIN) 
11020.194 Calibration Calibration (BEGIN) 
11020.825 Calibration Calibration (BEGIN) 
11021.517 Calibration Calibration (BEGIN) 
11022.162 Calibration Calibration (BEGIN) 
11022.840 Calibration Calibration (BEGIN) 
11023.512 Calibration Calibration (BEGIN) 
11024.164 Calibration Calibration (BEGIN) 
11024.825 Calibration Calibration (BEGIN) 
11025.477 Calibration Calibration (BEGIN) 
11026.149 Calibration Calibration (BEGIN) 
11026.810 Calibration Calibration (BEGIN) 
11027.461 Calibration Calibration (BEGIN) 
11028.119 Calibration Calibration (BEGIN) 
11028.782 Calibration Calibration (BEGIN) 
11029.434 Calibration Calibration (BEGIN) 
11030.094 Calibration Calibration (BEGIN) 
11030.762 Calibration Calibration (BEGIN) 
11031.461 Calibration Calibration (BEGIN) 
11032.113 Calibration Calibration (BEGIN) 
11032.767 Calibration Calibration (BEGIN) 
11033.432 Calibration Calibration (BEGIN) 
11034.098 Calibration Calibration (BEGIN) 
11034.757 Calibration Calibration (BEGIN) 
11035.420 Calibration Calibration (BEGIN) 
11036.077 Calibration Calibration (BEGIN) 
11036.731 Calibration Calibration (BEGIN) 
11037.358 Calibration Calibration (BEGIN) 
11037.910 Calibration Calibration (BEGIN) 
11038.440 Calibration Calibration (BEGIN) 
11038.973 Calibration Calibration (BEGIN) 
11039.495 Calibration Calibration (BEGIN) 
11039.997 Calibration Calibration (BEGIN) 
11040.514 Calibration Calibration (BEGIN) 
11041.043 Calibration Calibration (BEGIN) 
11041.577 Calibration Calibration (BEGIN) 
11042.088 Calibration Calibration (BEGIN) 
11042.596 Calibration Calibration (BEGIN) 
11043.120 Calibration Calibration (BEGIN) 
11043.626 Calibration Calibration (BEGIN) 
11044.135 Calibration Calibration (BEGIN) 
11044.645 Calibration Calibration (BEGIN) 
11045.169 Calibration Calibration (BEGIN) 
11045.680 Calibration Calibration (BEGIN) 
11046.192 Calibration Calibration (BEGIN) 
11046.704 Calibration Calibration (BEGIN) 
11047.225 Calibration Calibration (BEGIN) 
11047.782 Calibration Calibration (BEGIN) 
11048.297 Calibration Calibration (BEGIN) 
11048.805 Calibration Calibration (BEGIN) 
11049.324 Calibration Calibration (BEGIN) 
11049.834 Calibration Calibration (BEGIN) 
11050.344 Calibration Calibration (BEGIN) 
11050.854 Calibration Calibration (BEGIN) 
11051.368 Calibration Calibration (BEGIN) 
11051.872 Calibration Calibration (BEGIN) 
11052.379 Calibration Calibration (BEGIN) 
11052.863 Calibration Calibration (BEGIN) 
11053.372 Calibration Calibration (BEGIN) 
11053.849 Calibration Calibration (BEGIN) 
11054.365 Calibration Calibration (BEGIN) 
11054.849 Calibration Calibration (BEGIN) 
11055.329 Calibration Calibration (BEGIN) 
11055.852 Calibration Calibration (BEGIN) 
11056.336 Calibration Calibration (BEGIN) 
11056.809 Calibration Calibration (BEGIN) 
11057.296 Calibration Calibration (BEGIN) 
11057.777 Calibration Calibration (BEGIN) 
11058.263 Calibration Calibration (BEGIN) 
11058.764 Calibration Calibration (BEGIN) 
11059.249 Calibration Calibration (BEGIN) 
11059.730 Calibration Calibration (BEGIN) 
11060.216 Calibration Calibration (BEGIN) 
11060.706 Calibration Calibration (BEGIN) 
11061.192 Calibration Calibration (BEGIN) 
11061.672 Calibration Calibration (BEGIN) 
11062.175 Calibration Calibration (BEGIN) 
11062.660 Calibration Calibration (BEGIN) 
11063.151 Calibration Calibration (BEGIN) 
11063.635 Calibration Calibration (BEGIN) 
11064.118 Calibration Calibration (BEGIN) 
11064.628 Calibration Calibration (BEGIN) 
11065.115 Calibration Calibration (BEGIN) 
11065.607 Calibration Calibration (BEGIN) 
11066.089 Calibration Calibration (BEGIN) 
11066.594 Calibration Calibration (BEGIN) 
11067.085 Calibration Calibration (BEGIN) 
11067.589 Calibration Calibration (BEGIN) 
11068.100 Calibration Calibration (BEGIN) 
11068.601 Calibration Calibration (BEGIN) 
11069.112 Calibration Calibration (BEGIN) 
11069.597 Calibration Calibration (BEGIN) 
11070.082 Calibration Calibration (BEGIN) 
11070.582 Calibration Calibration (BEGIN) 
11071.097 Calibration Calibration (BEGIN) 
11071.614 Calibration Calibration (BEGIN) 
11072.145 Calibration Calibration (BEGIN) 
11072.661 Calibration Calibration (BEGIN) 
11073.167 Calibration Calibration (BEGIN) 
11073.679 Calibration Calibration (BEGIN) 
11074.193 Calibration Calibration (BEGIN) 
11074.702 Calibration Calibration (BEGIN) 
11075.208 Calibration Calibration (BEGIN) 
11075.715 Calibration Calibration (BEGIN) 
11076.229 Calibration Calibration (BEGIN) 
11076.739 Calibration Calibration (BEGIN) 
11077.250 Calibration Calibration (BEGIN) 
11077.757 Calibration Calibration (BEGIN) 
11078.270 Calibration Calibration (BEGIN) 
11078.777 Calibration Calibration (BEGIN) 
11079.289 Calibration Calibration (BEGIN) 
11079.801 Calibration Calibration (BEGIN) 
11080.316 Calibration Calibration (BEGIN) 
11080.833 Calibration Calibration (BEGIN) 
11081.374 Calibration Calibration (BEGIN) 
11081.898 Calibration Calibration (BEGIN) 
11082.406 Calibration Calibration (BEGIN) 
11082.918 Calibration Calibration (BEGIN) 
11083.422 Calibration Calibration (BEGIN) 
11083.928 Calibration Calibration (BEGIN) 
11084.440 Calibration Calibration (BEGIN) 
11084.964 Calibration Calibration (BEGIN) 
11085.451 Calibration Calibration (BEGIN) 
11085.948 Calibration Calibration (BEGIN) 
11086.439 Calibration Calibration (BEGIN) 
11086.923 Calibration Calibration (BEGIN) 
11087.411 Calibration Calibration (BEGIN) 
11087.909 Calibration Calibration (BEGIN) 
11088.392 Calibration Calibration (BEGIN) 
11088.884 Calibration Calibration (BEGIN) 
11089.370 Calibration Calibration (BEGIN) 
11089.852 Calibration Calibration (BEGIN) 
11090.337 Calibration Calibration (BEGIN) 
11090.819 Calibration Calibration (BEGIN) 
11091.312 Calibration Calibration (BEGIN) 
11091.813 Calibration Calibration (BEGIN) 
11092.331 Calibration Calibration (BEGIN) 
11092.844 Calibration Calibration (BEGIN) 
11093.365 Calibration Calibration (BEGIN) 
11093.871 Calibration Calibration (BEGIN) 
11094.380 Calibration Calibration (BEGIN) 
11094.889 Calibration Calibration (BEGIN) 
11095.407 Calibration Calibration (BEGIN) 
11095.887 Calibration Calibration (BEGIN) 
11096.396 Calibration Calibration (BEGIN) 
11096.892 Calibration Calibration (BEGIN) 
11097.381 Calibration Calibration (BEGIN) 
11097.893 Calibration Calibration (BEGIN) 
11098.396 Calibration Calibration (BEGIN) 
11098.878 Calibration Calibration (BEGIN) 
11099.358 Calibration Calibration (BEGIN) 
11099.855 Calibration Calibration (BEGIN) 
11100.359 Calibration Calibration (BEGIN) 
11100.860 Calibration Calibration (BEGIN) 
11101.343 Calibration Calibration (BEGIN) 
11101.826 Calibration Calibration (BEGIN) 
11102.338 Calibration Calibration (BEGIN) 
11102.822 Calibration Calibration (BEGIN) 
11103.304 Calibration Calibration (BEGIN) 
11103.790 Calibration Calibration (BEGIN) 
11104.271 Calibration Calibration (BEGIN) 
11104.766 Calibration Calibration (BEGIN) 
11105.248 Calibration Calibration (BEGIN) 
11105.734 Calibration Calibration (BEGIN) 
11106.216 Calibration Calibration (BEGIN) 
11106.720 Calibration Calibration (BEGIN) 
11107.242 Calibration Calibration (BEGIN) 
11107.719 Calibration Calibration (BEGIN) 
11108.197 Calibration Calibration (BEGIN) 
11108.681 Calibration Calibration (BEGIN) 
11109.160 Calibration Calibration (BEGIN) 
11109.654 Calibration Calibration (BEGIN) 
11110.131 Calibration Calibration (BEGIN) 
11110.614 Calibration Calibration (BEGIN) 
11111.118 Calibration Calibration (BEGIN) 
11111.593 Calibration Calibration (BEGIN) 
11112.084 Calibration Calibration (BEGIN) 
11112.570 Calibration Calibration (BEGIN) 
11113.053 Calibration Calibration (BEGIN) 
11113.556 Calibration Calibration (BEGIN) 
11114.045 Calibration Calibration (BEGIN) 
11114.546 Calibration Calibration (BEGIN) 
11115.032 Calibration Calibration (BEGIN) 
11115.516 Calibration Calibration (BEGIN) 
11115.998 Calibration Calibration (BEGIN) 
11116.499 Calibration Calibration (BEGIN) 
11116.989 Calibration Calibration (BEGIN) 
11117.474 Calibration Calibration (BEGIN) 
11117.973 Calibration Calibration (BEGIN) 
11118.458 Calibration Calibration (BEGIN) 
11118.962 Calibration Calibration (BEGIN) 
11119.471 Calibration Calibration (BEGIN) 
11119.956 Calibration Calibration (BEGIN) 
11120.440 Calibration Calibration (BEGIN) 
11120.926 Calibration Calibration (BEGIN) 
11121.400 Calibration Calibration (BEGIN) 
11121.891 Calibration Calibration (BEGIN) 
11122.377 Calibration Calibration (BEGIN) 
11122.862 Calibration Calibration (BEGIN) 
11123.343 Calibration Calibration (BEGIN) 
11123.828 Calibration Calibration (BEGIN) 
11124.335 Calibration Calibration (BEGIN) 
11124.817 Calibration Calibration (BEGIN) 
11125.316 Calibration Calibration (BEGIN) 
11125.797 Calibration Calibration (BEGIN) 
11126.282 Calibration Calibration (BEGIN) 
11126.774 Calibration Calibration (BEGIN) 
11127.254 Calibration Calibration (BEGIN) 
11127.730 Calibration Calibration (BEGIN) 
11128.213 Calibration Calibration (BEGIN) 
11128.698 Calibration Calibration (BEGIN) 
11129.189 Calibration Calibration (BEGIN) 
11129.673 Calibration Calibration (BEGIN) 
11130.159 Calibration Calibration (BEGIN) 
11130.646 Calibration Calibration (BEGIN) 
11131.154 Calibration Calibration (BEGIN) 
11131.656 Calibration Calibration (BEGIN) 
