10366.926 ********************************************************
10367.001 ** Session beginning Thursday November 03, 2022 03:12:52 AM **
10367.010 ** ExperimentBuilder Project : s20_1 **
10367.016 ** ExperimentBuilder Version : 2.3.38 **
10367.022 ** ExperimentBuilder Build   : Jul 30 2020 **
10367.056 ********************************************************
10367.065 TRACKER_TIME 0 10018401.926
10734.151 INITIALIZE INITIALIZE
10741.602 Calibration Calibration (BEGIN) 
10753.613 Calibration Calibration
10754.540 Calibration Calibration (BEGIN) 
10755.208 Calibration Calibration (BEGIN) 
10755.890 Calibration Calibration (BEGIN) 
10756.566 Calibration Calibration (BEGIN) 
10757.243 Calibration Calibration (BEGIN) 
10757.938 Calibration Calibration (BEGIN) 
10758.609 Calibration Calibration (BEGIN) 
10759.253 Calibration Calibration (BEGIN) 
10759.886 Calibration Calibration (BEGIN) 
10760.603 Calibration Calibration (BEGIN) 
10761.236 Calibration Calibration (BEGIN) 
10761.862 Calibration Calibration (BEGIN) 
10762.495 Calibration Calibration (BEGIN) 
10763.154 Calibration Calibration (BEGIN) 
10763.794 Calibration Calibration (BEGIN) 
10764.418 Calibration Calibration (BEGIN) 
10765.066 Calibration Calibration (BEGIN) 
10765.710 Calibration Calibration (BEGIN) 
10766.353 Calibration Calibration (BEGIN) 
10766.999 Calibration Calibration (BEGIN) 
10767.647 Calibration Calibration (BEGIN) 
10768.301 Calibration Calibration (BEGIN) 
10768.936 Calibration Calibration (BEGIN) 
10769.581 Calibration Calibration (BEGIN) 
10770.238 Calibration Calibration (BEGIN) 
10770.890 Calibration Calibration (BEGIN) 
10771.534 Calibration Calibration (BEGIN) 
10772.109 Calibration Calibration (BEGIN) 
10772.668 Calibration Calibration (BEGIN) 
10773.231 Calibration Calibration (BEGIN) 
10773.777 Calibration Calibration (BEGIN) 
10774.319 Calibration Calibration (BEGIN) 
10774.904 Calibration Calibration (BEGIN) 
10775.527 Calibration Calibration (BEGIN) 
10776.167 Calibration Calibration (BEGIN) 
10776.743 Calibration Calibration (BEGIN) 
10777.344 Calibration Calibration (BEGIN) 
10777.949 Calibration Calibration (BEGIN) 
10778.535 Calibration Calibration (BEGIN) 
10779.124 Calibration Calibration (BEGIN) 
10779.709 Calibration Calibration (BEGIN) 
10780.304 Calibration Calibration (BEGIN) 
10780.902 Calibration Calibration (BEGIN) 
10781.492 Calibration Calibration (BEGIN) 
10782.081 Calibration Calibration (BEGIN) 
10782.680 Calibration Calibration (BEGIN) 
10783.270 Calibration Calibration (BEGIN) 
10783.867 Calibration Calibration (BEGIN) 
10784.455 Calibration Calibration (BEGIN) 
10785.117 Calibration Calibration (BEGIN) 
10785.858 Calibration Calibration (BEGIN) 
10786.546 Calibration Calibration (BEGIN) 
10787.295 Calibration Calibration (BEGIN) 
10788.012 Calibration Calibration (BEGIN) 
10788.739 Calibration Calibration (BEGIN) 
10789.478 Calibration Calibration (BEGIN) 
10790.214 Calibration Calibration (BEGIN) 
10790.948 Calibration Calibration (BEGIN) 
10791.726 Calibration Calibration (BEGIN) 
10792.454 Calibration Calibration (BEGIN) 
10793.182 Calibration Calibration (BEGIN) 
10793.921 Calibration Calibration (BEGIN) 
10794.656 Calibration Calibration (BEGIN) 
10795.392 Calibration Calibration (BEGIN) 
10796.131 Calibration Calibration (BEGIN) 
10796.866 Calibration Calibration (BEGIN) 
10797.593 Calibration Calibration (BEGIN) 
