14030.167 ********************************************************
14030.238 ** Session beginning Thursday September 08, 2022 01:14:38 AM **
14030.246 ** ExperimentBuilder Project : p13_1 **
14030.251 ** ExperimentBuilder Version : 2.3.38 **
14030.256 ** ExperimentBuilder Build   : Jul 30 2020 **
14030.260 ********************************************************
14030.268 TRACKER_TIME 0 933693.466
14398.450 INITIALIZE INITIALIZE
14413.219 Calibration Calibration (BEGIN) 
14420.993 Calibration Calibration
14422.004 Calibration Calibration (BEGIN) 
14422.753 Calibration Calibration (BEGIN) 
14423.475 Calibration Calibration (BEGIN) 
14424.205 Calibration Calibration (BEGIN) 
14424.929 Calibration Calibration (BEGIN) 
14425.644 Calibration Calibration (BEGIN) 
14426.368 Calibration Calibration (BEGIN) 
14427.052 Calibration Calibration (BEGIN) 
14427.743 Calibration Calibration (BEGIN) 
14428.445 Calibration Calibration (BEGIN) 
14429.156 Calibration Calibration (BEGIN) 
14429.846 Calibration Calibration (BEGIN) 
14430.530 Calibration Calibration (BEGIN) 
14431.192 Calibration Calibration (BEGIN) 
14431.864 Calibration Calibration (BEGIN) 
14432.555 Calibration Calibration (BEGIN) 
14433.224 Calibration Calibration (BEGIN) 
14433.900 Calibration Calibration (BEGIN) 
14434.714 Calibration Calibration (BEGIN) 
14435.506 Calibration Calibration (BEGIN) 
14436.264 Calibration Calibration (BEGIN) 
14437.040 Calibration Calibration (BEGIN) 
14437.831 Calibration Calibration (BEGIN) 
14438.599 Calibration Calibration (BEGIN) 
14439.360 Calibration Calibration (BEGIN) 
14440.110 Calibration Calibration (BEGIN) 
14440.890 Calibration Calibration (BEGIN) 
14441.667 Calibration Calibration (BEGIN) 
14442.426 Calibration Calibration (BEGIN) 
14443.196 Calibration Calibration (BEGIN) 
14443.964 Calibration Calibration (BEGIN) 
14444.726 Calibration Calibration (BEGIN) 
14445.486 Calibration Calibration (BEGIN) 
14446.255 Calibration Calibration (BEGIN) 
14447.031 Calibration Calibration (BEGIN) 
14447.756 Calibration Calibration (BEGIN) 
14448.494 Calibration Calibration (BEGIN) 
14449.223 Calibration Calibration (BEGIN) 
14449.857 Calibration Calibration (BEGIN) 
14450.525 Calibration Calibration (BEGIN) 
14451.201 Calibration Calibration (BEGIN) 
14451.943 Calibration Calibration (BEGIN) 
14452.680 Calibration Calibration (BEGIN) 
14453.414 Calibration Calibration (BEGIN) 
14454.136 Calibration Calibration (BEGIN) 
14454.875 Calibration Calibration (BEGIN) 
14455.606 Calibration Calibration (BEGIN) 
14456.334 Calibration Calibration (BEGIN) 
14457.079 Calibration Calibration (BEGIN) 
14457.795 Calibration Calibration (BEGIN) 
14458.525 Calibration Calibration (BEGIN) 
14459.266 Calibration Calibration (BEGIN) 
14460.001 Calibration Calibration (BEGIN) 
14460.729 Calibration Calibration (BEGIN) 
14461.468 Calibration Calibration (BEGIN) 
14462.199 Calibration Calibration (BEGIN) 
14462.928 Calibration Calibration (BEGIN) 
14463.669 Calibration Calibration (BEGIN) 
14464.300 Calibration Calibration (BEGIN) 
14465.017 Calibration Calibration (BEGIN) 
14465.754 Calibration Calibration (BEGIN) 
14466.486 Calibration Calibration (BEGIN) 
14467.216 Calibration Calibration (BEGIN) 
14467.953 Calibration Calibration (BEGIN) 
14468.684 Calibration Calibration (BEGIN) 
14469.410 Calibration Calibration (BEGIN) 
14470.149 Calibration Calibration (BEGIN) 
14470.925 Calibration Calibration (BEGIN) 
14471.655 Calibration Calibration (BEGIN) 
14472.394 Calibration Calibration (BEGIN) 
14473.124 Calibration Calibration (BEGIN) 
14473.853 Calibration Calibration (BEGIN) 
14474.598 Calibration Calibration (BEGIN) 
14475.330 Calibration Calibration (BEGIN) 
14476.059 Calibration Calibration (BEGIN) 
14476.801 Calibration Calibration (BEGIN) 
14477.532 Calibration Calibration (BEGIN) 
14478.261 Calibration Calibration (BEGIN) 
14478.993 Calibration Calibration (BEGIN) 
14479.738 Calibration Calibration (BEGIN) 
14480.356 Calibration Calibration (BEGIN) 
14481.084 Calibration Calibration (BEGIN) 
14481.814 Calibration Calibration (BEGIN) 
14482.541 Calibration Calibration (BEGIN) 
14483.283 Calibration Calibration (BEGIN) 
14484.012 Calibration Calibration (BEGIN) 
14484.742 Calibration Calibration (BEGIN) 
14485.489 Calibration Calibration (BEGIN) 
14486.220 Calibration Calibration (BEGIN) 
14486.942 Calibration Calibration (BEGIN) 
14487.734 Calibration Calibration (BEGIN) 
14488.466 Calibration Calibration (BEGIN) 
14489.190 Calibration Calibration (BEGIN) 
14489.922 Calibration Calibration (BEGIN) 
14490.657 Calibration Calibration (BEGIN) 
14491.382 Calibration Calibration (BEGIN) 
14492.119 Calibration Calibration (BEGIN) 
14492.782 Calibration Calibration (BEGIN) 
14493.449 Calibration Calibration (BEGIN) 
14494.132 Calibration Calibration (BEGIN) 
14494.799 Calibration Calibration (BEGIN) 
14495.376 Calibration Calibration (BEGIN) 
14496.037 Calibration Calibration (BEGIN) 
14496.718 Calibration Calibration (BEGIN) 
14497.388 Calibration Calibration (BEGIN) 
14498.047 Calibration Calibration (BEGIN) 
14498.726 Calibration Calibration (BEGIN) 
14499.390 Calibration Calibration (BEGIN) 
14500.061 Calibration Calibration (BEGIN) 
14500.726 Calibration Calibration (BEGIN) 
14501.367 Calibration Calibration (BEGIN) 
14502.040 Calibration Calibration (BEGIN) 
14502.701 Calibration Calibration (BEGIN) 
14503.372 Calibration Calibration (BEGIN) 
14503.978 Calibration Calibration (BEGIN) 
14504.643 Calibration Calibration (BEGIN) 
14505.313 Calibration Calibration (BEGIN) 
14505.983 Calibration Calibration (BEGIN) 
14506.652 Calibration Calibration (BEGIN) 
14507.317 Calibration Calibration (BEGIN) 
14507.991 Calibration Calibration (BEGIN) 
14508.645 Calibration Calibration (BEGIN) 
14509.307 Calibration Calibration (BEGIN) 
14509.940 Calibration Calibration (BEGIN) 
14510.615 Calibration Calibration (BEGIN) 
14511.290 Calibration Calibration (BEGIN) 
14511.967 Calibration Calibration (BEGIN) 
14512.645 Calibration Calibration (BEGIN) 
14513.319 Calibration Calibration (BEGIN) 
14513.992 Calibration Calibration (BEGIN) 
14514.605 Calibration Calibration (BEGIN) 
14515.261 Calibration Calibration (BEGIN) 
14515.932 Calibration Calibration (BEGIN) 
14516.598 Calibration Calibration (BEGIN) 
14517.271 Calibration Calibration (BEGIN) 
14517.928 Calibration Calibration (BEGIN) 
14518.596 Calibration Calibration (BEGIN) 
14519.258 Calibration Calibration (BEGIN) 
14519.932 Calibration Calibration (BEGIN) 
14520.569 Calibration Calibration (BEGIN) 
14521.226 Calibration Calibration (BEGIN) 
14521.891 Calibration Calibration (BEGIN) 
14522.577 Calibration Calibration (BEGIN) 
14523.240 Calibration Calibration (BEGIN) 
14523.904 Calibration Calibration (BEGIN) 
14524.576 Calibration Calibration (BEGIN) 
14525.244 Calibration Calibration (BEGIN) 
14525.906 Calibration Calibration (BEGIN) 
14526.585 Calibration Calibration (BEGIN) 
14527.222 Calibration Calibration (BEGIN) 
14527.909 Calibration Calibration (BEGIN) 
14528.579 Calibration Calibration (BEGIN) 
14529.246 Calibration Calibration (BEGIN) 
14529.904 Calibration Calibration (BEGIN) 
14530.576 Calibration Calibration (BEGIN) 
14531.245 Calibration Calibration (BEGIN) 
14531.911 Calibration Calibration (BEGIN) 
14532.572 Calibration Calibration (BEGIN) 
14533.238 Calibration Calibration (BEGIN) 
14533.911 Calibration Calibration (BEGIN) 
14534.581 Calibration Calibration (BEGIN) 
14535.236 Calibration Calibration (BEGIN) 
14535.898 Calibration Calibration (BEGIN) 
14536.575 Calibration Calibration (BEGIN) 
14537.192 Calibration Calibration (BEGIN) 
14537.879 Calibration Calibration (BEGIN) 
14538.540 Calibration Calibration (BEGIN) 
14539.217 Calibration Calibration (BEGIN) 
14539.837 Calibration Calibration (BEGIN) 
14540.504 Calibration Calibration (BEGIN) 
14541.168 Calibration Calibration (BEGIN) 
14541.859 Calibration Calibration (BEGIN) 
14542.511 Calibration Calibration (BEGIN) 
14543.150 Calibration Calibration (BEGIN) 
14543.821 Calibration Calibration (BEGIN) 
14544.487 Calibration Calibration (BEGIN) 
14545.140 Calibration Calibration (BEGIN) 
14545.751 Calibration Calibration (BEGIN) 
14546.413 Calibration Calibration (BEGIN) 
14547.089 Calibration Calibration (BEGIN) 
14547.756 Calibration Calibration (BEGIN) 
14548.418 Calibration Calibration (BEGIN) 
14549.104 Calibration Calibration (BEGIN) 
14549.764 Calibration Calibration (BEGIN) 
14550.434 Calibration Calibration (BEGIN) 
14551.106 Calibration Calibration (BEGIN) 
14551.774 Calibration Calibration (BEGIN) 
14552.473 Calibration Calibration (BEGIN) 
14553.143 Calibration Calibration (BEGIN) 
14553.760 Calibration Calibration (BEGIN) 
14554.477 Calibration Calibration (BEGIN) 
14555.137 Calibration Calibration (BEGIN) 
14555.804 Calibration Calibration (BEGIN) 
14556.460 Calibration Calibration (BEGIN) 
14557.100 Calibration Calibration (BEGIN) 
14557.734 Calibration Calibration (BEGIN) 
14558.389 Calibration Calibration (BEGIN) 
14559.049 Calibration Calibration (BEGIN) 
14559.703 Calibration Calibration (BEGIN) 
14560.364 Calibration Calibration (BEGIN) 
14561.015 Calibration Calibration (BEGIN) 
14561.668 Calibration Calibration (BEGIN) 
14562.327 Calibration Calibration (BEGIN) 
14562.988 Calibration Calibration (BEGIN) 
14563.642 Calibration Calibration (BEGIN) 
14564.295 Calibration Calibration (BEGIN) 
14564.954 Calibration Calibration (BEGIN) 
14565.620 Calibration Calibration (BEGIN) 
14566.293 Calibration Calibration (BEGIN) 
14566.946 Calibration Calibration (BEGIN) 
14567.600 Calibration Calibration (BEGIN) 
14568.262 Calibration Calibration (BEGIN) 
14568.911 Calibration Calibration (BEGIN) 
14569.576 Calibration Calibration (BEGIN) 
14570.233 Calibration Calibration (BEGIN) 
14570.941 Calibration Calibration (BEGIN) 
14571.599 Calibration Calibration (BEGIN) 
14572.234 Calibration Calibration (BEGIN) 
14572.891 Calibration Calibration (BEGIN) 
14573.547 Calibration Calibration (BEGIN) 
14574.209 Calibration Calibration (BEGIN) 
14574.865 Calibration Calibration (BEGIN) 
14575.531 Calibration Calibration (BEGIN) 
14576.197 Calibration Calibration (BEGIN) 
14576.861 Calibration Calibration (BEGIN) 
14577.522 Calibration Calibration (BEGIN) 
14578.189 Calibration Calibration (BEGIN) 
14578.846 Calibration Calibration (BEGIN) 
14579.504 Calibration Calibration (BEGIN) 
14580.177 Calibration Calibration (BEGIN) 
14580.844 Calibration Calibration (BEGIN) 
14581.498 Calibration Calibration (BEGIN) 
14582.165 Calibration Calibration (BEGIN) 
14582.814 Calibration Calibration (BEGIN) 
14583.484 Calibration Calibration (BEGIN) 
14584.135 Calibration Calibration (BEGIN) 
14584.798 Calibration Calibration (BEGIN) 
14585.457 Calibration Calibration (BEGIN) 
14586.129 Calibration Calibration (BEGIN) 
